"plot_in_year","ACMGLA","AMSMEN","BRATOR","BRODIA","BROMAD","CALCIL","CRACON","CROSET","CRYINT","EROCIC","EROMOS","EUCCHR","HORMUR","LUPBIC","LUPSPA","LUPTRU","NEMMEN","PECLIN","PHADIS","SCHBAR","SISERY","SONOLE"
"A_1_L.2021.unraked",0,0.0514705882352941,0.0514705882352941,0.264705882352941,0.5,0,0,0,0.00735294117647059,0,0.0367647058823529,0,0.0882352941176471,0,0,0,0,0,0,0,0,0
"A_1_U.2021.raked",0,0.031496062992126,0.0236220472440945,0.149606299212598,0.62992125984252,0,0,0,0,0.0078740157480315,0.015748031496063,0,0.133858267716535,0,0,0.0078740157480315,0,0,0,0,0,0
"A_2_L.2021.raked",0,0.00826446280991736,0,0.429752066115702,0.471074380165289,0,0,0,0.00826446280991736,0,0.00826446280991736,0,0.0661157024793388,0,0,0.00826446280991736,0,0,0,0,0,0
"A_2_U.2021.unraked",0,0.0534351145038168,0.0152671755725191,0.480916030534351,0.412213740458015,0,0,0,0,0,0,0,0.0381679389312977,0,0,0,0,0,0,0,0,0
"A_3_L.2021.unraked",0,0.056,0.024,0.616,0.288,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0
"A_3_U.2021.raked",0,0.0379746835443038,0.0253164556962025,0.424050632911392,0.487341772151899,0,0,0,0,0.00632911392405063,0.00632911392405063,0,0.0126582278481013,0,0,0,0,0,0,0,0,0
"A_4_L.2021.raked",0,0.0241935483870968,0.00806451612903226,0.669354838709677,0.298387096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_4_U.2021.unraked",0,0.00847457627118644,0.0423728813559322,0.483050847457627,0.449152542372881,0,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0.00847457627118644
"A_5_L.2021.unraked",0,0.0707964601769911,0.0530973451327434,0.769911504424779,0.0884955752212389,0,0,0,0,0,0,0,0,0,0,0.00884955752212389,0,0,0,0,0,0.00884955752212389
"A_5_U.2021.raked",0,0.0198019801980198,0.0594059405940594,0.871287128712871,0.0495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_6_L.2021.raked",0,0.0520833333333333,0.0520833333333333,0.854166666666667,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104166666666667,0,0,0.0104166666666667
"A_6_U.2021.unraked",0,0.00970873786407767,0.058252427184466,0.864077669902913,0.058252427184466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970873786407767
"A_7_L.2021.unraked",0,0.03125,0.03125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_7_U.2021.raked",0,0.0357142857142857,0.125,0.794642857142857,0.0446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_8_L.2021.raked",0,0.0598290598290598,0.153846153846154,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0.00854700854700855
"A_8_U.2021.unraked",0,0.0396825396825397,0.253968253968254,0.69047619047619,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_9_L.2021.unraked",0,0.0192307692307692,0.163461538461538,0.807692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961538461538462
"A_9_U.2021.raked",0,0.0517241379310345,0.112068965517241,0.758620689655172,0.0775862068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_10_L.2021.raked",0,0.05,0.04,0.9,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"A_10_U.2021.unraked",0,0.0319148936170213,0.0106382978723404,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_1_L.2021.unraked",0,0.0111111111111111,0.0333333333333333,0.955555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_1_U.2021.raked",0,0.036697247706422,0.0091743119266055,0.807339449541284,0.100917431192661,0,0,0,0,0,0,0,0.0458715596330275,0,0,0,0,0,0,0,0,0
"C_2_L.2021.raked",0,0.0102040816326531,0.0102040816326531,0.918367346938776,0.0102040816326531,0,0,0,0,0,0,0,0.0408163265306122,0,0,0.0102040816326531,0,0,0,0,0,0
"C_2_U.2021.unraked",0,0,0,0.823529411764706,0.0196078431372549,0,0,0,0.00980392156862745,0,0,0,0.147058823529412,0,0,0,0,0,0,0,0,0
"C_3_L.2021.unraked",0,0.0693069306930693,0.0297029702970297,0.891089108910891,0,0,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0
"C_3_U.2021.raked",0,0.01,0.03,0.89,0.01,0,0,0,0,0,0,0,0.05,0,0,0.01,0,0,0,0,0,0
"C_4_L.2021.raked",0,0,0.010989010989011,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_4_U.2021.unraked",0,0,0.0515463917525773,0.896907216494845,0.0515463917525773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_5_L.2021.unraked",0,0.0108695652173913,0.0108695652173913,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_5_U.2021.raked",0,0.043956043956044,0,0.934065934065934,0.021978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_6_L.2021.raked",0,0.0319148936170213,0.0212765957446809,0.936170212765957,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0,0,0,0,0,0
"C_6_U.2021.unraked",0,0.0108695652173913,0.0108695652173913,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_7_L.2021.unraked",0,0,0.0108695652173913,0.978260869565217,0.0108695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_7_U.2021.raked",0,0.0106382978723404,0.0212765957446809,0.957446808510638,0.0106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_8_L.2021.raked",0,0.0108695652173913,0.0108695652173913,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_8_U.2021.unraked",0,0.021505376344086,0,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0.010752688172043,0,0,0,0,0,0,0
"C_9_L.2021.unraked",0,0,0.0112359550561798,0.98876404494382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_9_U.2021.raked",0,0.0824742268041237,0.0309278350515464,0.88659793814433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_10_L.2021.raked",0,0.112244897959184,0.0204081632653061,0.86734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_10_U.2021.unraked",0,0.010989010989011,0.010989010989011,0.978021978021978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_1_L.2021.unraked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_1_U.2021.raked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_2_L.2021.raked",0,0.010752688172043,0.021505376344086,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_2_U.2021.unraked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_3_L.2021.unraked",0,0,0,0.989010989010989,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_3_U.2021.raked",0,0.0526315789473684,0.0105263157894737,0.936842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_4_L.2021.raked",0,0.010989010989011,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_4_U.2021.unraked",0,0.0227272727272727,0.0113636363636364,0.965909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_5_L.2021.unraked",0,0.021505376344086,0.021505376344086,0.956989247311828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
