"plot","year","treatment","BRATOR","EROCIC","EROMOS","SISERY","SONOLE","year_treatment","BG","LIT"
"A_1_L","2021","unraked",0.583333333333333,0,0.416666666666667,0,0,"2021_unraked",0.188888888888889,0.811111111111111
"A_1_U","2021","raked",0.5,0.166666666666667,0.333333333333333,0,0,"2021_raked",0.122222222222222,0.855555555555556
"A_2_L","2021","raked",0,0,1,0,0,"2021_raked",0.0888888888888889,0.9
"A_2_U","2021","unraked",1,0,0,0,0,"2021_unraked",0.0888888888888889,0.911111111111111
"A_3_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.133333333333333,0.866666666666667
"A_3_U","2021","raked",0.666666666666667,0.166666666666667,0.166666666666667,0,0,"2021_raked",0.0111111111111111,0.977777777777778
"A_4_L","2021","raked",1,0,0,0,0,"2021_raked",0.0888888888888889,0.911111111111111
"A_4_U","2021","unraked",0.833333333333333,0,0,0,0.166666666666667,"2021_unraked",0.0666666666666667,0.933333333333333
"A_5_L","2021","unraked",0.857142857142857,0,0,0,0.142857142857143,"2021_unraked",0.255555555555556,0.744444444444444
"A_5_U","2021","raked",1,0,0,0,0,"2021_raked",0.0888888888888889,0.9
"A_6_L","2021","raked",0.833333333333333,0,0,0,0.166666666666667,"2021_raked",0.188888888888889,0.811111111111111
"A_6_U","2021","unraked",0.857142857142857,0,0,0,0.142857142857143,"2021_unraked",0.0111111111111111,0.988888888888889
"A_7_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.0222222222222222,0.977777777777778
"A_7_U","2021","raked",1,0,0,0,0,"2021_raked",0.155555555555556,0.844444444444444
"A_8_L","2021","raked",0.947368421052632,0,0,0,0.0526315789473684,"2021_raked",0.144444444444444,0.855555555555556
"A_8_U","2021","unraked",1,0,0,0,0,"2021_unraked",0.0888888888888889,0.911111111111111
"A_9_L","2021","unraked",0.944444444444444,0,0,0,0.0555555555555556,"2021_unraked",0.0555555555555556,0.944444444444444
"A_9_U","2021","raked",1,0,0,0,0,"2021_raked",0.0555555555555556,0.944444444444444
"A_10_L","2021","raked",1,0,0,0,0,"2021_raked",0,1
"A_10_U","2021","unraked",1,0,0,0,0,"2021_unraked",0.0111111111111111,0.988888888888889
"C_1_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.0555555555555556,0.944444444444444
"C_1_U","2021","raked",1,0,0,0,0,"2021_raked",0.177777777777778,0.822222222222222
"C_2_L","2021","raked",1,0,0,0,0,"2021_raked",0.0444444444444444,0.955555555555556
"C_2_U","2021","unraked",0,0,0,0,0,"2021_unraked",0.155555555555556,0.833333333333333
"C_3_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.0222222222222222,0.977777777777778
"C_3_U","2021","raked",1,0,0,0,0,"2021_raked",0.0333333333333333,0.966666666666667
"C_4_L","2021","raked",1,0,0,0,0,"2021_raked",0.177777777777778,0.822222222222222
"C_4_U","2021","unraked",1,0,0,0,0,"2021_unraked",0.155555555555556,0.844444444444444
"C_5_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.111111111111111,0.888888888888889
"C_5_U","2021","raked",0,0,0,0,0,"2021_raked",0.111111111111111,0.888888888888889
"C_6_L","2021","raked",1,0,0,0,0,"2021_raked",0.0888888888888889,0.911111111111111
"C_6_U","2021","unraked",1,0,0,0,0,"2021_unraked",0.0111111111111111,0.988888888888889
"C_7_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.166666666666667,0.833333333333333
"C_7_U","2021","raked",1,0,0,0,0,"2021_raked",0.0666666666666667,0.933333333333333
"C_8_L","2021","raked",1,0,0,0,0,"2021_raked",0.0888888888888889,0.911111111111111
"C_8_U","2021","unraked",0,0,0,0,0,"2021_unraked",0.111111111111111,0.888888888888889
"C_9_L","2021","unraked",1,0,0,0,0,"2021_unraked",0.111111111111111,0.888888888888889
"C_9_U","2021","raked",1,0,0,0,0,"2021_raked",0.133333333333333,0.866666666666667
"C_10_L","2021","raked",1,0,0,0,0,"2021_raked",0.266666666666667,0.733333333333333
"C_10_U","2021","unraked",1,0,0,0,0,"2021_unraked",0.1,0.9
