"collected_date","plot","row","column","position","transect","point","year","treatment","hitnumber","species_code"
"2021-03-23","A_1_L","A",1,"L","1","0","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.1","2021","unraked","hitnumber_1","HORMUR"
"2021-03-23","A_1_L","A",1,"L","1","0.1","2021","unraked","hitnumber_2","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.1","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.2","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.2","2021","unraked","hitnumber_2","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","0.2","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.3","2021","unraked","hitnumber_1","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","0.3","2021","unraked","hitnumber_2","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.3","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.4","2021","unraked","hitnumber_1","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","0.4","2021","unraked","hitnumber_2","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.4","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.5","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.5","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.6","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.6","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.7","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.7","2021","unraked","hitnumber_2","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","0.7","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.8","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","0.8","2021","unraked","hitnumber_2","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","0.8","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","0.9","2021","unraked","hitnumber_1","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","0.9","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1","2021","unraked","hitnumber_1","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","1","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.1","2021","unraked","hitnumber_1","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","1.1","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.2","2021","unraked","hitnumber_1","HORMUR"
"2021-03-23","A_1_L","A",1,"L","1","1.2","2021","unraked","hitnumber_2","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","1.2","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.3","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","1.3","2021","unraked","hitnumber_2","BG"
"2021-03-23","A_1_L","A",1,"L","1","1.4","2021","unraked","hitnumber_1","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.4","2021","unraked","hitnumber_2","BRODIA"
"2021-03-23","A_1_L","A",1,"L","1","1.4","2021","unraked","hitnumber_3","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","1.5","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","1.5","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.6","2021","unraked","hitnumber_1","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","1.6","2021","unraked","hitnumber_2","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.7","2021","unraked","hitnumber_1","HORMUR"
"2021-03-23","A_1_L","A",1,"L","1","1.7","2021","unraked","hitnumber_2","BROMAD"
"2021-03-23","A_1_L","A",1,"L","1","1.7","2021","unraked","hitnumber_3","LIT"
"2021-03-23","A_1_L","A",1,"L","1","1.8","2021","unraked","hitnumber_1","BRODIA"
