"year","plot","treatment","ACMGLA","AMSMEN","BRATOR","BRODIA","BROMAD","CALCIL","CRACON","CROSET","CRYINT","EROCIC","EROMOS","EUCCHR","HORMUR","LUPBIC","LUPSPA","LUPTRU","NEMMEN","PECLIN","PHADIS","SCHBAR","SISERY","SONOLE"
"2021","A_1_L","unraked",0,7,7,36,68,0,0,0,1,0,5,0,12,0,0,0,0,0,0,0,0,0
"2021","A_1_U","raked",0,4,3,19,80,0,0,0,0,1,2,0,17,0,0,1,0,0,0,0,0,0
"2021","A_2_L","raked",0,1,0,52,57,0,0,0,1,0,1,0,8,0,0,1,0,0,0,0,0,0
"2021","A_2_U","unraked",0,7,2,63,54,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"2021","A_3_L","unraked",0,7,3,77,36,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2021","A_3_U","raked",0,6,4,67,77,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
"2021","A_4_L","raked",0,3,1,83,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","A_4_U","unraked",0,1,5,57,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"2021","A_5_L","unraked",0,8,6,87,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2021","A_5_U","raked",0,2,6,88,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","A_6_L","raked",0,5,5,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"2021","A_6_U","unraked",0,1,6,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2021","A_7_L","unraked",0,3,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","A_7_U","raked",0,4,14,89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","A_8_L","raked",0,7,18,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2021","A_8_U","unraked",0,5,32,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","A_9_L","unraked",0,2,17,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2021","A_9_U","raked",0,6,13,88,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","A_10_L","raked",0,5,4,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2021","A_10_U","unraked",0,3,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_1_L","unraked",0,1,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_1_U","raked",0,4,1,88,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"2021","C_2_L","raked",0,1,1,90,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
"2021","C_2_U","unraked",0,0,0,84,2,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
"2021","C_3_L","unraked",0,7,3,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2021","C_3_U","raked",0,1,3,89,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
"2021","C_4_L","raked",0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_4_U","unraked",0,0,5,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_5_L","unraked",0,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_5_U","raked",0,4,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_6_L","raked",0,3,2,88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2021","C_6_U","unraked",0,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_7_L","unraked",0,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_7_U","raked",0,1,2,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_8_L","raked",0,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_8_U","unraked",0,2,0,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2021","C_9_L","unraked",0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_9_U","raked",0,8,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_10_L","raked",0,11,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","C_10_U","unraked",0,1,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_1_L","unraked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_1_U","raked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_2_L","raked",0,1,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_2_U","unraked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_3_L","unraked",0,0,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_3_U","raked",0,5,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_4_L","raked",0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_4_U","unraked",0,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_5_L","unraked",0,2,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_5_U","raked",0,3,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2021","E_6_L","raked",0,5,0,84,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_6_U","unraked",0,1,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_7_L","unraked",0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_7_U","raked",0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_8_L","raked",0,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_8_U","unraked",0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_9_L","unraked",0,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_9_U","raked",0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_10_L","raked",0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","E_10_U","unraked",0,3,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_1_L","unraked",0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_1_U","raked",0,0,0,90,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_2_L","raked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_2_U","unraked",0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_3_L","unraked",0,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_3_U","raked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_4_L","raked",0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_4_U","unraked",0,2,9,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_5_L","unraked",0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_5_U","raked",0,1,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_6_L","raked",0,1,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2021","G_6_U","unraked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_7_L","unraked",0,1,2,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"2021","G_7_U","raked",0,7,2,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_8_L","raked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_8_U","unraked",0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_9_L","unraked",0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_9_U","raked",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_10_L","raked",0,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","G_10_U","unraked",0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_1_L","unraked",0,5,1,37,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_1_U","raked",0,1,5,66,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"2022","A_2_L","raked",0,7,4,46,35,1,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0
"2022","A_2_U","unraked",0,8,1,62,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2022","A_3_L","unraked",0,1,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_3_U","raked",0,3,4,18,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_4_L","raked",0,1,4,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_4_U","unraked",0,5,2,62,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_5_L","unraked",0,6,4,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022","A_5_U","raked",0,2,8,48,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2022","A_6_L","raked",0,6,9,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"2022","A_6_U","unraked",0,2,1,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2022","A_7_L","unraked",0,10,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
