entered_by,entered_date,collected_by,collected_date,row,column,position,transect,point,hitnumber_1,hitnumber_2,hitnumber_3,hitnumber_4,hitnumber_5,gopher_hole,notes,corrections
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.1,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.2,BRATOR,BRODIA,BG,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.5,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.6,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.7,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.8,BG,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,0.9,BRODIA,HORMUR,LIT,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.2,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.3,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.4,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.5,BG,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.7,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.8,BG,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,1.9,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.1,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.2,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.4,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.5,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.6,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.7,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.8,LIT,,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,1,2.9,BROMAD,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0,LIT,BRODIA,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.1,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.2,BRODIA,BROMAD,LIT,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.3,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.4,BRODIA,HORMUR,BG,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.5,BROMAD,BRODIA,BG,,,,,changed from BRODIA
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.6,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.7,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.8,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,0.9,BRODIA,LIT,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.1,HORMUR,BROMAD,BRODIA,BG,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.2,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.3,HORMUR,BRODIA,BG,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.4,BROMAD,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.5,BRATOR,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.6,BRODIA,BG,,,,,,
Tejas,2022-04-06,"AR, CI, RA, DY",2022-02-25,A,1,U,2,1.7,BRODIA,LIT,,,,,,
