entered_by,entered_date,collected_by,collected_date,row,column,position,transect,point,hitnumber_1,hitnumber_2,hitnumber_3,hitnumber_4,hitnumber_5,notes,checked,corrections
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.1,HORMUR,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.2,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.3,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.4,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.5,BROMAD,LIT,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.6,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.7,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.8,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,0.9,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.1,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.2,HORMUR,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.3,BROMAD,BG,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.4,LIT,BRODIA,BROMAD,LIT,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.5,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.6,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.7,HORMUR,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.8,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,1.9,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.1,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.2,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.3,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.4,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.5,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.6,BRODIA,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.7,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.8,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,1,2.9,BRODIA,BG,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.1,BROMAD,HORMUR,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.2,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.3,BRODIA,BROMAD,LIT,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.4,BRODIA,LIT,BG,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.5,BRODIA,BROMAD,LIT,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.6,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.7,BROMAD,BRODIA,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.8,LIT,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,0.9,LIT,HORMUR,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.1,BRODIA,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.2,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.3,BRATOR,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.4,BRATOR,BROMAD,LIT,BG,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.5,AMSMEN,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.6,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.7,AMSMEN,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.8,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,1.9,BROMAD,LIT,,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2,LIT,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.1,LIT,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.2,LIT,BROMAD,LIT,,,,checked,
Caryn,2021-06-27,"ARP, CI",2021-03-23,A,1,L,2,2.3,BROMAD,LIT,,,,,checked,
