"predictor","Chisq","Df","Pr(>Chisq)","response_variable","model_type","p_value_pretty"
"treatment",16.7093060495973,1,4.35667647585687e-05,"sprich","global","< 0.001 *"
"year",54.9477155639729,2,1.17018672950416e-12,"sprich","global","< 0.001 *"
"treatment:year",2.18851786106889,2,0.334787615920924,"sprich","global","0.335 N.S."
"treatment",10.2659538420938,1,0.00135507660156467,"sprich_native","global","0.001 *"
"year",41.7166126608547,2,8.7368053260575e-10,"sprich_native","global","< 0.001 *"
"treatment:year",0.210670175159761,2,0.900022885561118,"sprich_native","global","0.9 N.S."
"treatment",65.0562315120768,1,7.27910045873833e-16,"shannon","global","< 0.001 *"
"year",322.721058670056,2,8.35627093812375e-71,"shannon","global","< 0.001 *"
"treatment:year",24.1246052162599,2,5.77309279453649e-06,"shannon","global","< 0.001 *"
"treatment",0.961284995381106,1,0.32686333635029,"log_shannon_native","global","0.327 N.S."
"year",1.7157691060344,2,0.424058206785736,"log_shannon_native","global","0.424 N.S."
"treatment:year",0.299392034103432,2,0.860969656744505,"log_shannon_native","global","0.861 N.S."
"treatment",39.1122390028325,1,4.00127775363829e-10,"exotic_forb","global","< 0.001 *"
"year",62.0556788877169,2,3.34796218599638e-14,"exotic_forb","global","< 0.001 *"
"treatment:year",16.8195796372282,2,0.000222676654488575,"exotic_forb","global","< 0.001 *"
"treatment",11.8733162754244,1,0.000569439262736038,"native_forb","global","< 0.001 *"
"year",126.761261569109,2,2.9794890297207e-28,"native_forb","global","< 0.001 *"
"treatment:year",0.146666925084593,2,0.929290894648483,"native_forb","global","0.929 N.S."
