"model","predictor","Chisq","Df","p_value","p_value_f","significance"
"sprich_fm_2022","treatment",3.93259566721231,1,0.0473587932489728,"0.047","*"
"sprich_fm_2023","treatment",13.8296243918767,1,0.000200155379291078,"< 0.001","*"
"sprich_native_fm_2022","treatment",3.35893432117046,1,0.0668413101183047,"0.067","N.S."
"sprich_native_fm_2023","treatment",6.01375890539734,1,0.0141947581354886,"0.014","*"
"shannon_fm_2022","treatment",52.844106324727,1,3.61100586559694e-13,"< 0.001","*"
"shannon_fm_2023","treatment",61.6346404336983,1,4.1347998076105e-15,"< 0.001","*"
"shnat_fm_2022","treatment",0.122840350329317,1,0.72597408698045,"0.73","N.S."
"shnat_fm_2023","treatment",0.530071735339345,1,0.466576702023143,"0.47","N.S."
"ef_fm_2022","treatment",95.1067628957852,1,1.80389414229195e-22,"< 0.001","*"
"ef_fm_2023","treatment",18.8160957995613,1,1.43947190930538e-05,"< 0.001","*"
"nf_fm_2022","treatment",6.2402312866896,1,0.0124880166411014,"0.012","*"
"nf_fm_2023","treatment",6.57444253198779,1,0.0103453400593683,"0.01","*"
